,year,gender,job_satisfaction,gender_label,satisfaction_label,decade
15172,1983,2,1,Female,Very Satisfied,1980
15266,1983,2,2,Female,Moderately Satisfied,1980
15348,1983,1,1,Male,Very Satisfied,1980
15477,1983,2,1,Female,Very Satisfied,1980
15506,1983,2,1,Female,Very Satisfied,1980
15527,1983,2,1,Female,Very Satisfied,1980
15558,1983,2,2,Female,Moderately Satisfied,1980
15582,1984,2,1,Female,Very Satisfied,1980
15617,1984,2,1,Female,Very Satisfied,1980
15664,1984,2,2,Female,Moderately Satisfied,1980
15746,1984,2,1,Female,Very Satisfied,1980
15775,1984,2,1,Female,Very Satisfied,1980
15835,1984,1,1,Male,Very Satisfied,1980
15853,1984,2,2,Female,Moderately Satisfied,1980
15950,1984,2,1,Female,Very Satisfied,1980
15980,1984,2,3,Female,A Little Dissatisfied,1980
16013,1984,1,2,Male,Moderately Satisfied,1980
16054,1984,2,1,Female,Very Satisfied,1980
16071,1984,1,2,Male,Moderately Satisfied,1980
16078,1984,2,1,Female,Very Satisfied,1980
16140,1984,2,3,Female,A Little Dissatisfied,1980
16150,1984,2,1,Female,Very Satisfied,1980
16161,1984,2,3,Female,A Little Dissatisfied,1980
16187,1984,2,1,Female,Very Satisfied,1980
16193,1984,2,1,Female,Very Satisfied,1980
16221,1984,1,1,Male,Very Satisfied,1980
16233,1984,2,3,Female,A Little Dissatisfied,1980
16241,1984,2,1,Female,Very Satisfied,1980
16242,1984,2,1,Female,Very Satisfied,1980
16245,1984,1,2,Male,Moderately Satisfied,1980
16246,1984,2,1,Female,Very Satisfied,1980
16261,1984,2,1,Female,Very Satisfied,1980
16293,1984,2,2,Female,Moderately Satisfied,1980
16399,1984,2,1,Female,Very Satisfied,1980
16454,1984,1,3,Male,A Little Dissatisfied,1980
16515,1984,2,1,Female,Very Satisfied,1980
16526,1984,2,4,Female,Very Dissatisfied,1980
16557,1984,2,3,Female,A Little Dissatisfied,1980
16564,1984,2,1,Female,Very Satisfied,1980
16574,1984,1,1,Male,Very Satisfied,1980
16615,1984,2,1,Female,Very Satisfied,1980
16659,1984,2,2,Female,Moderately Satisfied,1980
